2026-06-28 13:00:24.478 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-28 13:00:24.493 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-28 13:13:05.704 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-06-28 13:13:39.492 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-28 13:13:39.507 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-28 13:22:30.870 [pool-1-thread-229] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-06-28 13:22:31.166 [pool-1-thread-229] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Happier Than Ever
2026-06-28 13:22:31.474 [pool-1-thread-229] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' uploadee avec succes
2026-06-28 13:22:31.474 [pool-1-thread-229] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-28 13:22:31.805 [pool-1-thread-229] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-28 13:22:31.805 [pool-1-thread-235] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-06-28 13:22:31.819 [pool-1-thread-235] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?HATRAIZA / AZA AVELA - REKO
2026-06-28 13:22:32.020 [pool-1-thread-235] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' uploadee avec succes
2026-06-28 13:22:32.020 [pool-1-thread-235] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
