2026-06-22 10:28:40.357 [pool-1-thread-26] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-06-22 10:28:40.359 [pool-1-thread-27] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Tongasoa
2026-06-22 10:28:40.366 [pool-1-thread-27] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Tongasoa
2026-06-22 10:28:40.378 [pool-1-thread-27] INFO  com.mp3.desktop.Programme3 - Chanson '?Tongasoa' ajoutee avec succes (ID=7.0)
2026-06-22 10:28:40.379 [pool-1-thread-27] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 10:28:40.419 [pool-1-thread-27] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-06-22 15:09:50.853 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-22 15:09:50.867 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-22 16:14:49.833 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-06-22 16:14:50.011 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Happier Than Ever
2026-06-22 16:14:50.065 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' ajoutee avec succes (ID=8.0)
2026-06-22 16:14:50.065 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:14:50.447 [pool-1-thread-1573] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 16:14:50.450 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:14:50.460 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 16:14:50.470 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' ajoutee avec succes (ID=9.0)
2026-06-22 16:14:50.470 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:14:50.501 [pool-1-thread-1579] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 16:14:50.503 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Louane - Maman (2015) Official Music Video
2026-06-22 16:14:50.511 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Louane - Maman (2015) Official Music Video
2026-06-22 16:14:50.522 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Chanson '?Louane - Maman (2015) Official Music Video' ajoutee avec succes (ID=10.0)
2026-06-22 16:14:50.523 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-06-22 16:14:50.552 [pool-1-thread-1580] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-06-22 16:14:50.554 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-06-22 16:14:50.560 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-06-22 16:14:50.568 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Chanson 'Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)' ajoutee avec succes (ID=11.0)
2026-06-22 16:14:50.568 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-06-22 16:14:50.601 [pool-1-thread-1581] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-06-22 16:14:50.602 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Misia
2026-06-22 16:14:50.610 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - DOUBLON detecte pour (hash=d3fba2106d55087356c3109e936a93da): ?Misia. On ne l'envoie pas.
2026-06-22 16:14:50.891 [pool-1-thread-1582] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
