2026-06-23 09:31:28.112 [Thread-P2] INFO  com.mp3.desktop.Programme2 - === Demarrage du Programme 2 ===
2026-06-23 09:31:28.143 [Thread-P2] INFO  com.mp3.desktop.Programme2 - Programme 2 en attente de messages sur la queue queue_liste_mp3
2026-06-23 09:32:38.368 [pool-1-thread-41] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-23 09:32:38.489 [pool-1-thread-41] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?Billie Eilish - ?Happier Than Ever
2026-06-23 09:32:38.492 [pool-1-thread-44] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-23 09:32:38.560 [pool-1-thread-44] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?Reko Band - ?HATRAIZA / AZA AVELA - REKO
2026-06-23 09:32:38.565 [pool-1-thread-46] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-06-23 09:32:38.601 [pool-1-thread-46] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?Nils - ?Louane - Maman (2015) Official Music Video
2026-06-23 09:32:38.604 [pool-1-thread-47] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-06-23 09:32:38.659 [pool-1-thread-47] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : null - Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-06-23 09:32:38.659 [pool-1-thread-48] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-06-23 09:32:38.715 [pool-1-thread-48] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?REKO BAND - ?Misia
2026-06-23 09:32:38.721 [pool-1-thread-49] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-06-23 09:32:38.786 [pool-1-thread-49] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?Reko Band - ?MITONIA - REKO (Official lyrics video)
2026-06-23 09:32:38.786 [pool-1-thread-50] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-06-23 09:32:38.836 [pool-1-thread-50] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?REKO BAND - ?Ny Anaranao
2026-06-23 09:32:38.836 [pool-1-thread-11] INFO  com.mp3.desktop.Programme2 - <- Message recu (P2) : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-06-23 09:32:38.882 [pool-1-thread-11] INFO  com.mp3.desktop.Programme2 - -> Metadata envoye (P2 -> P3) : ?REKO BAND - ?Rotoroto
